image,name,role,king,current-status,hasJob,wikipedia,resigned,context
assets/binyamin-netanyahu.png,בנימין נתניהו,ראש הממשלה,true,,true,https://w.wiki/7EoR,,
assets/almog-cohen.png,אלמוג כהן,חבר כנסת,,,,https://w.wiki/7nYE,,
assets/amichai-eliyau.png,עמיחי אליהו,שר המורשת,true,,true,https://w.wiki/7nYF,,
assets/amichai-shikli.png,עמיחי שיקלי,שר התפוצות והמאבק באנטישמיות והשר לשוויון חברתי,true,,true,https://w.wiki/7nYG,,
assets/amir-ochana.jpeg,אמיר אוחנה,יושב ראש הכנסת,true,,true,https://w.wiki/7nYB,,
assets/amit-halevi.png,עמית הלוי,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%99%D7%AA_%D7%94%D7%9C%D7%95%D7%9,,
assets/ariel-boso.png,אוריאל בוסו,שר הבריאות,true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A8%D7%99%D7%90%D7%9C_%D7%91%D7%95%D7%A1%D7%9,,"* 12.10.2023 - מנויו כשר הבריאות אושר בכנסת "
assets/ariel-klener.png,אריאל קלנר,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%90%D7%A8%D7%99%D7%90%D7%9C_%D7%A7%D7%9C%D7%A0%D7%A,,
assets/arye-machluf-deri.png,אריה מכלוף דרעי,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%90%D7%A8%D7%99%D7%94_%D7%93%D7%A8%D7%A2%D7%9,,
assets/avi-dichter.png,אבי דיכטר,שר החקלאות,true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99_%D7%93%D7%99%D7%9B%D7%98%D7%A,,
assets/avi-maoz.png,אבי מעוז,סגן שר במשרד ראש הממשלה,true,,true,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%99%D7%97%D7%99_%D7%A9%D7%99%D7%A7%D7%9C%D7%9,,
assets/avihai-avrham-boaron.png,אביחי בוארון,,,סיים את תפקידו כחבר כנסת,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%97%D7%99_%D7%91%D7%95%D7%90%D7%A8%D7%95%D7%9,true,"* 12.10.2023 - שרת ההסברה, גלית דיסטל אטבריאן, הודיעה על התפטרותה מהתפקיד וצפויה לחזור לכהן כחבר כנסת. במסגרת החוק הנורווגי בוארון צפוי לסיים את תפקידו"
assets/avrahm-bezalhel.png,אברהם בצאלאל,יושב ראש הוועדה לצמצום הפערים החברתיים בפריפריה,,,true,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A8%D7%94%D7%9D_%D7%91%D7%A6%D7%9C%D7%90%D7%9,,
assets/bezalel-smotriz.png,בצלאל סמוטריץ,שר האוצר ושר במשרד הביטחון,true,,true,https://he.wikipedia.org/wiki/%D7%91%D7%A6%D7%9C%D7%90%D7%9C_%D7%A1%D7%9E%D7%95%D7%98%D7%A8%D7%99%D7%A5%2,,
assets/boaz-bismot.png,בועז ביסמוט,"יושב ראש הוועדה לענייני התמכרויות, סמים ואתגרי הצעירים בישראל",,,true,https://he.wikipedia.org/wiki/%D7%91%D7%95%D7%A2%D7%96_%D7%91%D7%99%D7%A1%D7%9E%D7%95%D7%9,,
assets/dan-iluz.png,דן אילוז,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%93%D7%9F_%D7%90%D7%99%D7%9C%D7%95%D7%9,,
assets/dani-danon.png,דני דנון,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%93%D7%A0%D7%99_%D7%93%D7%A0%D7%95%D7%9,,
assets/david-amsalem.png,דוד אמסלם,"השר לשיתוף פעולה אזורי, שר במשרד המשפטים והשר המקשר בין הממשלה לכנסת",true,,true,https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%93%D7%99_%D7%90%D7%9E%D7%A1%D7%9C%D7%9,,
assets/david-bitan.png,דוד ביטן,יושב ראש ועדת הכלכלה,,,true,https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%93_%D7%91%D7%99%D7%98%D7%9,,
assets/eli-cohen.png,אלי כהן,שר החוץ,true,,true,https://w.wiki/7nXi,,
assets/eli-dalal.png,אלי דלל,יושב-ראש הוועדה המיוחדת לזכויות הילד,,,true,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%99%D7%94%D7%95_%D7%93%D7%9C%D7%9,,
assets/eliyau-bruchi.png,אליהו ברוכי,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%99%D7%94%D7%95_%D7%91%D7%A8%D7%95%D7%9B%D7%9,,
assets/eliyau-revivo.png,אליהו רביבו,יושב ראש הועדה המיוחדת לעובדים זרים,,,true,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%99%D7%94%D7%95_%D7%A8%D7%91%D7%99%D7%91%D7%9,,
assets/erez-malol.png,ארז מלול,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%90%D7%A8%D7%96_%D7%9E%D7%9C%D7%95%D7%9,,
assets/galit-distel-atberian.png,גלית דיסטל-אטבריאן,חברת כנסת,,התפטרה מתפקידה כשרת ההסברה,,https://he.wikipedia.org/wiki/%D7%92%D7%9C%D7%99%D7%AA_%D7%93%D7%99%D7%A1%D7%98%D7%9C-%D7%90%D7%98%D7%91%D7%A8%D7%99%D7%90%D7%9,true,* 12.10.2023 - התפטרה מתפקידה כשרת ההסברה
assets/gila-gamliel.png,גילה גמליאל,שרת המודיעין,true,,true,https://he.wikipedia.org/wiki/%D7%92%D7%99%D7%9C%D7%94_%D7%92%D7%9E%D7%9C%D7%99%D7%90%D7%9,,
assets/haim-biton.png,חיים ביטון,שר במשרד החינוך,true,,true,https://he.wikipedia.org/wiki/%D7%97%D7%99%D7%99%D7%9D_%D7%91%D7%99%D7%98%D7%95%D7%9F,,
assets/haim-katz.png,חיים כץ,שר התיירות,true,,true,https://he.wikipedia.org/wiki/%D7%97%D7%99%D7%99%D7%9D_%D7%9B%D7%A5,,
assets/hanoch-dov-milbizki.png,חנוך דב מילביצקי,חבר כנסת,,,,https://he.wikipedia.org/wiki/%D7%97%D7%A0%D7%95%D7%9A_%D7%9E%D7%99%D7%9C%D7%91%D7%99%D7%A6%D7%A7%D7%99,,
assets/hava-ety-ataya.png,אתי חוה עַטִיָה,חברת כנסת,,,,https://he.wikipedia.org/wiki/%D7%90%D7%AA%D7%99_%D7%A2%D7%98%D7%99%D7%99%D7%94),,
assets/idit-silman.png,עידית סילמן,שרה להגנת הסביבה,true,,true,https://he.wikipedia.org/wiki/%D7%A2%D7%99%D7%93%D7%99%D7%AA_%D7%A1%D7%99%D7%9C%D7%9E%D7%9F),,
assets/israel-ichler.png,ישראל יצחק אייכלר,יושב ראש ועדת העבודה והרווחה וסגן יושב ראש הכנסת,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A9%D7%A8%D7%90%D7%9C_%D7%90%D7%99%D7%99%D7%9B%D7%9C%D7%A8),,
assets/israel-katz.png,ישראל כץ,שר האנרגיה והתשתיות,true,,true,https://he.wikipedia.org/wiki/%D7%99%D7%A9%D7%A8%D7%90%D7%9C_%D7%9B%22%D7%A5_(%D7%94%D7%9C%D7%99%D7%9B%D7%95%D7%93)),,
assets/itamar-ben-gvir.png,איתמר בן גביר,השר לביטחון לאומי,true,,true,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%AA%D7%9E%D7%A8_%D7%91%D7%9F_%D7%92%D7%91%D7%99%D7%A8),,
